"SubjectId","Activity","variable","value"
"TestSubject_10","LAYING","GroupedMean_tBodyAcc-mean()-X",0.280230574137931
"TestSubject_10","SITTING","GroupedMean_tBodyAcc-mean()-X",0.270612056481481
"TestSubject_10","STANDING","GroupedMean_tBodyAcc-mean()-X",0.276650300681818
"TestSubject_10","WALKING","GroupedMean_tBodyAcc-mean()-X",0.278574076603774
"TestSubject_10","WALKING_DOWNSTAIRS","GroupedMean_tBodyAcc-mean()-X",0.290401594315789
"TestSubject_10","WALKING_UPSTAIRS","GroupedMean_tBodyAcc-mean()-X",0.267121853404255
"TestSubject_12","LAYING","GroupedMean_tBodyAcc-mean()-X",0.260113433
"TestSubject_12","SITTING","GroupedMean_tBodyAcc-mean()-X",0.275007224901961
"TestSubject_12","STANDING","GroupedMean_tBodyAcc-mean()-X",0.277405834918033
"TestSubject_12","WALKING","GroupedMean_tBodyAcc-mean()-X",0.2771286656
"TestSubject_12","WALKING_DOWNSTAIRS","GroupedMean_tBodyAcc-mean()-X",0.281521097391304
"TestSubject_12","WALKING_UPSTAIRS","GroupedMean_tBodyAcc-mean()-X",0.272970338653846
"TestSubject_13","LAYING","GroupedMean_tBodyAcc-mean()-X",0.276716360483871
"TestSubject_13","SITTING","GroupedMean_tBodyAcc-mean()-X",0.274328499591837
"TestSubject_13","STANDING","GroupedMean_tBodyAcc-mean()-X",0.277758431052632
"TestSubject_13","WALKING","GroupedMean_tBodyAcc-mean()-X",0.275883130350877
"TestSubject_13","WALKING_DOWNSTAIRS","GroupedMean_tBodyAcc-mean()-X",0.294907553404255
"TestSubject_13","WALKING_UPSTAIRS","GroupedMean_tBodyAcc-mean()-X",0.258203939581818
"TestSubject_18","LAYING","GroupedMean_tBodyAcc-mean()-X",0.274691576923077
"TestSubject_18","SITTING","GroupedMean_tBodyAcc-mean()-X",0.27727001877193
"TestSubject_18","STANDING","GroupedMean_tBodyAcc-mean()-X",0.278458805890411
"TestSubject_18","WALKING","GroupedMean_tBodyAcc-mean()-X",0.273887758571429
"TestSubject_18","WALKING_DOWNSTAIRS","GroupedMean_tBodyAcc-mean()-X",0.288439468909091
"TestSubject_18","WALKING_UPSTAIRS","GroupedMean_tBodyAcc-mean()-X",0.265401201896552
"TestSubject_2","LAYING","GroupedMean_tBodyAcc-mean()-X",0.281373403958333
"TestSubject_2","SITTING","GroupedMean_tBodyAcc-mean()-X",0.27708735173913
"TestSubject_2","STANDING","GroupedMean_tBodyAcc-mean()-X",0.277911472222222
"TestSubject_2","WALKING","GroupedMean_tBodyAcc-mean()-X",0.276426586440678
"TestSubject_2","WALKING_DOWNSTAIRS","GroupedMean_tBodyAcc-mean()-X",0.27761534806383
"TestSubject_2","WALKING_UPSTAIRS","GroupedMean_tBodyAcc-mean()-X",0.247164790395833
"TestSubject_20","LAYING","GroupedMean_tBodyAcc-mean()-X",0.239507882205882
"TestSubject_20","SITTING","GroupedMean_tBodyAcc-mean()-X",0.278045439090909
"TestSubject_20","STANDING","GroupedMean_tBodyAcc-mean()-X",0.278076904657534
